# Segment center positions for segment-based analysis
# All values are in crystal-coordinate frame
# <Crystal Type>   <Segment #>  <x>  <y>  <z> (A type = 0; B type = 1)
# A-type
0  0    20.6    0.0   4.1
0  1     9.7  -17.2   4.1
0  2   -10.3  -15.7   4.1
0  3   -18.3    0.9   4.1
0  4    -8.4   16.2   4.1
0  5    11.1   16.6   4.1
0  6    22.2    0.0  15.1
0  7    10.4  -18.7  15.1
0  8   -11.2  -17.0  15.1
0  9   -20.0    0.9  15.1
0  10   -9.2   17.6  15.1
0  11   12.0   18.0  15.1
0  12   24.0    0.0  30.2
0  13   11.2  -20.4  30.2
0  14  -12.4  -18.7  30.2
0  15  -21.9    1.1  30.2
0  16  -10.1   19.3  30.2
0  17   12.9   19.7  30.2
0  18   25.3    0.0  46.7
0  19   11.7  -21.8  46.7
0  20  -13.4  -20.2  46.7
0  21  -23.7    1.2  46.7
0  22  -11.0   20.9  46.7
0  23   13.6   21.1  46.7
0  24   25.9   -0.3  65.6
0  25   12.1  -22.7  65.6
0  26  -14.2  -21.3  65.7
0  27  -25.5    1.2  65.7
0  28  -11.9   22.4  65.7
0  29   13.7   22.0  65.6
0  30   26.1   -0.4  82.9
0  31   12.1  -23.1  82.9
0  32  -14.6  -21.7  82.9
0  33  -26.2    1.4  82.9
0  34  -12.3   23.1  82.9
0  35   13.6   22.4  82.9
# B-type  
1  0    18.0   10.0   4.1
1  1    18.4   -9.8   4.1
1  2     1.8  -19.9   4.1
1  3   -16.1  -10.1   4.1
1  4   -17.5    9.1   4.1
1  5    -0.3   19.8   4.1
1  6    19.4   10.8  15.1
1  7    19.9  -10.6  15.1
1  8     1.9  -21.5  15.1
1  9   -17.6  -11.0  15.1
1  10  -19.0    9.9  15.1
1  11   -0.5   21.5  15.1
1  12   20.9   11.8  30.2
1  13   21.5  -11.6  30.2
1  14    1.9  -23.4  30.2
1  15  -19.3  -12.0  30.2
1  16  -20.9   10.8  30.2
1  17   -0.7   23.4  30.2
1  18   22.1   12.4  46.6
1  19   22.6  -12.2  46.6
1  20    1.9  -25.0  46.7
1  21  -20.9  -12.9  46.7
1  22  -22.3   11.6  46.7
1  23   -0.8   24.9  46.7
1  24   22.4   13.0  65.6
1  25   22.9  -12.5  65.5
1  26    1.5  -25.8  65.6
1  27  -21.8  -13.7  65.6
1  28  -23.1   11.9  65.6
1  29   -0.9   25.8  65.6
1  30   22.5   13.2  82.9
1  31   23.1  -12.6  82.9
1  32    1.3  -26.1  82.9
1  33  -22.1  -14.0  82.9
1  34  -23.3   12.0  82.9
1  35   -1.0   26.0  82.9
